-----------------------------------------------------------------
ep1	ep2	d1	d2	theta		ep_eff	ep_eff2
-----------------------------------------------------------------
1	1	0	1	0.00 pi		1.0000	1.0000
1	1	0	1	0.17 pi		1.0000	1.0000
1	1	0	1	0.25 pi		1.0000	1.0000
1	1	0	1	0.33 pi		1.0000	1.0000
1	1	0	1	0.50 pi		1.0000	1.0000
1	1	0	1	0.67 pi		1.0000	1.0000
1	1	0	1	0.75 pi		1.0000	1.0000
1	1	0	1	0.83 pi		1.0000	1.0000
1	1	0	1	1.00 pi		1.0000	1.0000
1	1	0.2	0.8	0.00 pi		1.0000	1.0000
1	1	0.2	0.8	0.17 pi		1.0000	1.0000
1	1	0.2	0.8	0.25 pi		1.0000	1.0000
1	1	0.2	0.8	0.33 pi		1.0000	1.0000
1	1	0.2	0.8	0.50 pi		1.0000	1.0000
1	1	0.2	0.8	0.67 pi		1.0000	1.0000
1	1	0.2	0.8	0.75 pi		1.0000	1.0000
1	1	0.2	0.8	0.83 pi		1.0000	1.0000
1	1	0.2	0.8	1.00 pi		1.0000	1.0000
1	1	0.5	0.5	0.00 pi		1.0000	1.0000
1	1	0.5	0.5	0.17 pi		1.0000	1.0000
1	1	0.5	0.5	0.25 pi		1.0000	1.0000
1	1	0.5	0.5	0.33 pi		1.0000	1.0000
1	1	0.5	0.5	0.50 pi		1.0000	1.0000
1	1	0.5	0.5	0.67 pi		1.0000	1.0000
1	1	0.5	0.5	0.75 pi		1.0000	1.0000
1	1	0.5	0.5	0.83 pi		1.0000	1.0000
1	1	0.5	0.5	1.00 pi		1.0000	1.0000
1	1	0.7	0.3	0.00 pi		1.0000	1.0000
1	1	0.7	0.3	0.17 pi		1.0000	1.0000
1	1	0.7	0.3	0.25 pi		1.0000	1.0000
1	1	0.7	0.3	0.33 pi		1.0000	1.0000
1	1	0.7	0.3	0.50 pi		1.0000	1.0000
1	1	0.7	0.3	0.67 pi		1.0000	1.0000
1	1	0.7	0.3	0.75 pi		1.0000	1.0000
1	1	0.7	0.3	0.83 pi		1.0000	1.0000
1	1	0.7	0.3	1.00 pi		1.0000	1.0000
1	1	1	0	0.00 pi		1.0000	1.0000
1	1	1	0	0.17 pi		1.0000	1.0000
1	1	1	0	0.25 pi		1.0000	1.0000
1	1	1	0	0.33 pi		1.0000	1.0000
1	1	1	0	0.50 pi		1.0000	1.0000
1	1	1	0	0.67 pi		1.0000	1.0000
